year,lg,winner,w-l-t,totalWins
1944,NFL,Green Bay Packers,(NFL8-2),6
1944,NFL,Chicago Bears,(NFL8-1-1),4
1944,NFL,Washington Redskins,(NFL10-1),2
1943,NFL,Chicago Bears,(NFL8-1-1),4
1943,NFL,Washington Redskins,(NFL10-1),2
1943,NFL,Green Bay Packers,(NFL10-1-1),5
1942,NFL,Washington Redskins,(NFL10-1),2
1942,NFL,Green Bay Packers,(NFL10-1-1),5
1942,NFL,Chicago Bears,(NFL8-3),3
1941,NFL,Chicago Bears,(NFL10-1),3
1941,NFL,Washington Redskins,(NFL8-3),1
1941,NFL,Green Bay Packers,(NFL10-1-1),5
1940,NFL,Chicago Bears,(NFL8-3),2
1940,NFL,Washington Redskins,(NFL8-3),1
1940,NFL,Green Bay Packers,(NFL10-1-1),5
1939,NFL,Green Bay Packers,(NFL9-2),5
1939,NFL,Chicago Bears,(),2
1939,NFL,Washington Redskins,(),1
1938,NFL,New York Giants,(NFL8-2-1),3
1937,NFL,Washington Redskins,(NFL8-3),1
1937,NFL,Green Bay Packers,(NFL10-1-1),4
1937,NFL,Chicago Bears,(),2
1936,NFL,Green Bay Packers,(NFL10-1-1),4
1936,NFL,Chicago Bears,(),2
1936,NFL,Washington Redskins,(),0
1935,NFL,Detroit Lions,(NFL7-3-2),1
1934,NFL,New York Giants,(NFL8-5),2
1933,NFL,Chicago Bears,(NFL10-2-1),2
1933,NFL,Washington Redskins,(),0
1933,NFL,Green Bay Packers,(NFL10-3-1),3
1932,NFL,Chicago Bears,(NFL7-1-6),1
1932,NFL,Washington Redskins,(),0
1932,NFL,Green Bay Packers,(NFL10-3-1),3
1931,NFL,Green Bay Packers,(NFL12-2),3
1931,NFL,Chicago Bears,(),0
1931,NFL,Washington Redskins,(),0
1930,NFL,Green Bay Packers,(NFL10-3-1),2
1930,NFL,Chicago Bears,(),0
1930,NFL,Washington Redskins,(),0
1929,NFL,Green Bay Packers,(NFL12-0-1),1
1929,NFL,Chicago Bears,(),0
1929,NFL,Washington Redskins,(),0

